Hotel_ID,Booking_ID,Product_ID,Purchased_Product,Booking_Date,Check_In_Date,Check_Out_Date,Distribution_Channel,Advance_Purchase,Party_Size,Length_of_Stay,Number_of_Rooms,Nightly_Rate,Total_Revenue,Purchased_Rate_Code,Purchased_Room_Type,Merge_Indicator,Arrival_Rate,Rate_Code,Rate_Description,Room_Type,Membership_Status,Enrollment_Date,VIP_Membership_Status,VIP_Enrollment_Date
2,1,1,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,2 Queen Beds Room 2 Smoking,1,20060817,0,
2,1,2,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,212,Rate 3,Accommodation Combined with Frequent Traveler Rewards,Suite 2 Non-Smoking,1,20060817,0,
2,1,3,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,192,Rate 3,Accommodation Combined with Frequent Traveler Rewards,Standard Room,1,20060817,0,
2,1,4,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,2 Queen Beds Room 2 Smoking,1,20060817,0,
2,1,5,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,199.99,Rate 2,Rack Rate - Unrestricted Rate,Suite 2 Non-Smoking,1,20060817,0,
2,1,6,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,179.99,Rate 2,Rack Rate - Unrestricted Rate,Standard Room,1,20060817,0,
2,1,7,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,180,Rate 4,Discount Rate Less Restricted Than Advance Purchase,Suite 2 Non-Smoking,1,20060817,0,
2,1,8,0,20070331,20070331,20070401,CRO/Hotel,-1,1,1,1,135,135,Rate 5,2 Queen Beds Room 2 Smoking,1,162,Rate 4,Discount Rate Less Restricted Than Advance Purchase,Standard Room,1,20060817,0,
2,2,1,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,King Room 3 Smoking,0,,0,
2,2,2,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,King Room 3 Non-Smoking,0,,0,
2,2,3,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,172,Rate 3,Accommodation Combined with Frequent Traveler Rewards,King Room 1 Smoking,0,,0,
2,2,4,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,172,Rate 3,Accommodation Combined with Frequent Traveler Rewards,King Room 1 Non-Smoking,0,,0,
2,2,5,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,182,Rate 3,Accommodation Combined with Frequent Traveler Rewards,King Room 2 Smoking,0,,0,
2,2,6,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,182,Rate 3,Accommodation Combined with Frequent Traveler Rewards,King Room 2 Non-Smoking,0,,0,
2,2,7,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,2 Queen Beds Room 1 Smoking,0,,0,
2,2,8,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,2 Queen Beds Room 1 Non-Smoking,0,,0,
2,2,9,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,2 Queen Beds Room 2 Smoking,0,,0,
2,2,10,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,162,Rate 3,Accommodation Combined with Frequent Traveler Rewards,2 Queen Beds Room 2 Non-Smoking,0,,0,
2,2,11,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,202,Rate 3,Accommodation Combined with Frequent Traveler Rewards,Suite 1 Smoking,0,,0,
2,2,12,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,202,Rate 3,Accommodation Combined with Frequent Traveler Rewards,Suite 1 Non-Smoking,0,,0,
2,2,13,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,212,Rate 3,Accommodation Combined with Frequent Traveler Rewards,Suite 2 Non-Smoking,0,,0,
2,2,14,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,192,Rate 3,Accommodation Combined with Frequent Traveler Rewards,Standard Room,0,,0,
2,2,15,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,King Room 3 Smoking,0,,0,
2,2,16,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,King Room 3 Non-Smoking,0,,0,
2,2,17,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,159.99,Rate 2,Rack Rate - Unrestricted Rate,King Room 1 Smoking,0,,0,
2,2,18,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,159.99,Rate 2,Rack Rate - Unrestricted Rate,King Room 1 Non-Smoking,0,,0,
2,2,19,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,169.99,Rate 2,Rack Rate - Unrestricted Rate,King Room 2 Smoking,0,,0,
2,2,20,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,169.99,Rate 2,Rack Rate - Unrestricted Rate,King Room 2 Non-Smoking,0,,0,
2,2,21,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,2 Queen Beds Room 1 Smoking,0,,0,
2,2,22,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,2 Queen Beds Room 1 Non-Smoking,0,,0,
2,2,23,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,2 Queen Beds Room 2 Smoking,0,,0,
2,2,24,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,149.99,Rate 2,Rack Rate - Unrestricted Rate,2 Queen Beds Room 2 Non-Smoking,0,,0,
2,2,25,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,189.99,Rate 2,Rack Rate - Unrestricted Rate,Suite 1 Smoking,0,,0,
2,2,26,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,189.99,Rate 2,Rack Rate - Unrestricted Rate,Suite 1 Non-Smoking,0,,0,
2,2,27,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,199.99,Rate 2,Rack Rate - Unrestricted Rate,Suite 2 Non-Smoking,0,,0,
2,2,28,0,20070406,20070406,20070408,CRO/Hotel,0,1,2,1,153,306,Rate 5,2 Queen Beds Room 2 Non-Smoking,1,179.99,Rate 2,Rack Rate - Unrestricted Rate,Standard Room,0,,0,
